timestamp,frame_idx,ear,pred_label,true_label,is_closed,perclos,blinks,fps
1759694750.729,0,0.23537,open,,0,0.00000,0,0.00
1759694750.763,1,0.23802,open,,0,0.00000,0,0.00
1759694750.810,2,0.23918,open,,0,0.00000,0,0.00
1759694750.858,3,0.23953,open,,0,0.00000,0,0.00
1759694750.906,4,0.24262,open,,0,0.00000,0,0.00
1759694750.954,5,0.24360,open,,0,0.00000,0,0.00
1759694751.002,6,0.24483,open,,0,0.00000,0,0.00
1759694751.049,7,0.24660,open,,0,0.00000,0,0.00
1759694751.099,8,0.24912,open,,0,0.00000,0,0.00
1759694751.163,9,0.25072,open,,0,0.00000,0,0.00
1759694751.210,10,0.25273,open,,0,0.00000,0,0.00
1759694751.258,11,0.25347,open,,0,0.00000,0,0.00
1759694751.306,12,0.25415,open,,0,0.00000,0,0.00
1759694751.354,13,0.25499,open,,0,0.00000,0,0.00
1759694751.402,14,0.25616,open,,0,0.00000,0,0.00
1759694751.466,15,0.25693,open,,0,0.00000,0,0.00
1759694751.514,16,0.25676,open,,0,0.00000,0,0.00
1759694751.563,17,0.25597,open,,0,0.00000,0,17.87
1759694751.610,18,0.25473,open,,0,0.00000,0,17.87
1759694751.658,19,0.25517,open,,0,0.00000,0,17.87
1759694751.707,20,0.25402,open,,0,0.00000,0,17.87
1759694751.755,21,0.25523,open,,0,0.00000,0,17.87
1759694751.819,22,0.25494,open,,0,0.00000,0,17.87
1759694751.866,23,0.25653,open,,0,0.00000,0,17.87
1759694751.915,24,0.25772,open,,0,0.00000,0,17.87
1759694751.964,25,0.25914,open,,0,0.00000,0,17.87
1759694752.011,26,0.25908,open,,0,0.00000,0,17.87
1759694752.059,27,0.25929,open,,0,0.00000,0,17.87
1759694752.107,28,0.25820,open,,0,0.00000,0,17.87
1759694752.171,29,0.25595,open,,0,0.00000,0,17.87
1759694752.219,30,0.25657,open,,0,0.00000,0,17.87
1759694752.267,31,0.25805,open,,0,0.00000,0,17.87
1759694752.315,32,0.26033,open,,0,0.00000,0,17.87
1759694752.363,33,0.26300,open,,0,0.00000,0,17.87
1759694752.412,34,0.26602,open,,0,0.00000,0,17.87
1759694752.475,35,0.26878,open,,0,0.00000,0,17.87
1759694752.522,36,0.27178,open,,0,0.00000,0,17.87
1759694752.571,37,0.27126,open,,0,0.00000,0,19.83
1759694752.620,38,0.27068,open,,0,0.00000,0,19.83
1759694752.669,39,0.26871,open,,0,0.00000,0,19.83
1759694752.715,40,0.26646,open,,0,0.00000,0,19.83
1759694752.763,41,0.26501,open,,0,0.00000,0,19.83
1759694752.827,42,0.26228,open,,0,0.00000,0,19.83
1759694752.875,43,0.26212,open,,0,0.00000,0,19.83
1759694752.923,44,0.26064,open,,0,0.00000,0,19.83
1759694752.971,45,0.26152,open,,0,0.00000,0,19.83
1759694753.018,46,0.26205,open,,0,0.00000,0,19.83
1759694753.067,47,0.26165,open,,0,0.00000,0,19.83
1759694753.116,48,0.26197,open,,0,0.00000,0,19.83
1759694753.178,49,0.26251,open,,0,0.00000,0,19.83
1759694753.226,50,0.26072,open,,0,0.00000,0,19.83
1759694753.274,51,0.26240,open,,0,0.00000,0,19.83
1759694753.322,52,0.25938,open,,0,0.00000,0,19.83
1759694753.370,53,0.25768,open,,0,0.00000,0,19.83
1759694753.419,54,0.25787,open,,0,0.00000,0,19.83
1759694753.483,55,0.25528,open,,0,0.00000,0,19.83
1759694753.531,56,0.25339,open,,0,0.00000,0,19.83
1759694753.579,57,0.24664,open,,0,0.00000,0,19.84
1759694753.627,58,0.22767,open,,0,0.00000,0,19.84
1759694753.675,59,0.21410,open,,0,0.00000,0,19.84
1759694753.723,60,0.19981,open,,0,0.00000,0,19.84
1759694753.772,61,0.18441,closed,,1,0.01613,0,19.84
1759694753.835,62,0.17009,closed,,1,0.03175,0,19.84
1759694753.882,63,0.15422,closed,,1,0.04688,0,19.84
1759694753.931,64,0.14035,closed,,1,0.06154,0,19.84
1759694753.979,65,0.13238,closed,,1,0.07576,0,19.84
1759694754.027,66,0.12360,closed,,1,0.08955,0,19.84
1759694754.075,67,0.12830,closed,,1,0.10294,0,19.84
1759694754.140,68,0.14242,closed,,1,0.11594,0,19.84
1759694754.187,69,0.15705,closed,,1,0.12857,0,19.84
1759694754.235,70,0.17361,closed,,1,0.14085,0,19.84
1759694754.283,71,0.19500,closed,,1,0.15278,0,19.84
1759694754.332,72,0.22302,closed,,1,0.16438,0,19.84
1759694754.380,73,0.24878,closed,,1,0.17568,0,19.84
1759694754.426,74,0.26035,closed,,1,0.18667,0,19.84
1759694754.492,75,0.26305,closed,,1,0.19737,0,19.84
1759694754.541,76,0.26480,open,,0,0.19481,1,19.84
1759694754.588,77,0.26823,open,,0,0.19231,1,19.84
1759694754.636,78,0.26885,open,,0,0.18987,1,19.84
1759694754.685,79,0.26891,open,,0,0.18750,1,19.84
1759694754.733,80,0.26756,open,,0,0.18519,1,19.84
1759694754.781,81,0.26681,open,,0,0.18293,1,19.84
1759694754.843,82,0.26654,open,,0,0.18072,1,19.84
1759694754.892,83,0.26760,open,,0,0.17857,1,19.84
1759694754.939,84,0.26619,open,,0,0.17647,1,19.84
1759694754.989,85,0.26639,open,,0,0.17442,1,19.84
1759694755.035,86,0.26629,open,,0,0.17241,1,19.84
1759694755.084,87,0.26652,open,,0,0.17045,1,19.84
1759694755.147,88,0.26470,open,,0,0.16854,1,19.84
1759694755.196,89,0.26556,open,,0,0.16667,1,19.84
1759694755.244,90,0.26279,open,,0,0.16484,1,19.84
1759694755.291,91,0.26323,open,,0,0.16304,1,19.84
1759694755.340,92,0.26169,open,,0,0.16129,1,19.84
1759694755.387,93,0.26144,open,,0,0.15957,1,19.84
1759694755.435,94,0.25966,open,,0,0.15789,1,19.84
1759694755.500,95,0.26098,open,,0,0.15625,1,19.84
1759694755.547,96,0.25845,open,,0,0.15464,1,19.84
1759694755.596,97,0.25960,open,,0,0.15306,1,19.84
1759694755.643,98,0.25845,open,,0,0.15152,1,19.84
1759694755.692,99,0.25872,open,,0,0.15000,1,19.84
1759694755.741,100,0.25709,open,,0,0.14851,1,19.84
1759694755.804,101,0.25870,open,,0,0.14706,1,19.84
1759694755.853,102,0.25891,open,,0,0.14563,1,19.84
1759694755.901,103,0.25989,open,,0,0.14423,1,19.84
1759694755.949,104,0.26024,open,,0,0.14286,1,19.84
1759694755.997,105,0.25908,open,,0,0.14151,1,19.84
1759694756.045,106,0.26077,open,,0,0.14019,1,19.84
1759694756.092,107,0.26114,open,,0,0.13889,1,19.84
1759694756.157,108,0.26073,open,,0,0.13761,1,19.84
1759694756.205,109,0.26089,open,,0,0.13636,1,19.84
1759694756.252,110,0.26091,open,,0,0.13514,1,19.84
1759694756.299,111,0.26033,open,,0,0.13393,1,19.84
1759694756.347,112,0.26156,open,,0,0.13274,1,19.84
1759694756.397,113,0.26031,open,,0,0.13158,1,19.84
1759694756.444,114,0.26037,open,,0,0.13043,1,19.84
1759694756.508,115,0.25984,open,,0,0.12931,1,19.84
1759694756.556,116,0.25999,open,,0,0.12821,1,19.84
1759694756.603,117,0.26043,open,,0,0.12712,1,19.85
1759694756.652,118,0.26129,open,,0,0.12605,1,19.85
1759694756.701,119,0.25997,open,,0,0.12500,1,19.85
1759694756.749,120,0.25896,open,,0,0.12397,1,19.85
1759694756.812,121,0.25809,open,,0,0.12295,1,19.85
1759694756.859,122,0.25754,open,,0,0.12195,1,19.85
1759694756.908,123,0.25582,open,,0,0.12097,1,19.85
1759694756.955,124,0.25604,open,,0,0.12000,1,19.85
1759694757.004,125,0.25642,open,,0,0.11905,1,19.85
1759694757.051,126,0.25765,open,,0,0.11811,1,19.85
1759694757.100,127,0.26008,open,,0,0.11719,1,19.85
1759694757.164,128,0.26125,open,,0,0.11628,1,19.85
1759694757.212,129,0.26303,open,,0,0.11538,1,19.85
1759694757.260,130,0.26515,open,,0,0.11450,1,19.85
1759694757.380,131,0.26518,open,,0,0.11364,1,19.85
1759694757.403,132,0.26540,open,,0,0.11278,1,19.85
1759694757.467,133,0.26570,open,,0,0.11194,1,19.85
1759694757.515,134,0.26405,open,,0,0.11111,1,19.85
1759694757.563,135,0.26316,open,,0,0.11029,1,19.85
1759694757.611,136,0.26227,open,,0,0.10949,1,18.85
1759694757.660,137,0.26118,open,,0,0.10870,1,18.85
1759694757.707,138,0.26107,open,,0,0.10791,1,18.85
1759694757.755,139,0.26092,open,,0,0.10714,1,18.85
1759694757.819,140,0.26071,open,,0,0.10638,1,18.85
1759694757.867,141,0.26106,open,,0,0.10563,1,18.85
1759694757.915,142,0.26226,open,,0,0.10490,1,18.85
1759694757.964,143,0.26178,open,,0,0.10417,1,18.85
1759694758.010,144,0.26140,open,,0,0.10345,1,18.85
1759694758.148,145,0.26060,open,,0,0.10274,1,18.85
1759694758.171,146,0.26035,open,,0,0.10204,1,18.85
1759694758.219,147,0.26135,open,,0,0.10135,1,18.85
1759694758.267,148,0.26199,open,,0,0.10067,1,18.85
1759694758.316,149,0.26089,open,,0,0.10000,1,18.85
1759694758.364,150,0.26093,open,,0,0.09934,1,18.85
1759694758.412,151,0.26216,open,,0,0.09868,1,18.85
