timestamp,frame_idx,ear,pred_label,true_label,is_closed,perclos,blinks,fps
1759693825.691,0,0.26017,open,,0,0.00000,0,0.00
1759693825.720,1,0.26285,open,,0,0.00000,0,0.00
1759693825.775,2,0.26458,open,,0,0.00000,0,0.00
1759693825.822,3,0.26385,open,,0,0.00000,0,0.00
1759693825.872,4,0.26491,open,,0,0.00000,0,0.00
1759693825.919,5,0.26644,open,,0,0.00000,0,0.00
1759693825.967,6,0.26772,open,,0,0.00000,0,0.00
1759693826.015,7,0.26777,open,,0,0.00000,0,0.00
1759693826.079,8,0.26943,open,,0,0.00000,0,0.00
1759693826.126,9,0.27048,open,,0,0.00000,0,0.00
1759693826.175,10,0.27154,open,,0,0.00000,0,0.00
1759693826.223,11,0.27077,open,,0,0.00000,0,0.00
1759693826.271,12,0.27337,open,,0,0.00000,0,0.00
1759693826.319,13,0.27627,open,,0,0.00000,0,0.00
1759693826.367,14,0.27836,open,,0,0.00000,0,0.00
1759693826.432,15,0.28088,open,,0,0.00000,0,0.00
1759693826.480,16,0.28410,open,,0,0.00000,0,0.00
1759693826.526,17,0.28538,open,,0,0.00000,0,0.00
1759693826.575,18,0.27546,open,,0,0.00000,0,18.33
1759693826.623,19,0.23425,open,,0,0.00000,0,18.33
1759693826.670,20,0.20911,open,,0,0.00000,0,18.33
1759693826.718,21,0.20303,open,,0,0.00000,0,18.33
1759693826.783,22,0.20081,closed,,1,0.04348,0,18.33
1759693826.830,23,0.21355,closed,,1,0.08333,0,18.33
1759693826.880,24,0.25856,closed,,1,0.12000,0,18.33
1759693826.927,25,0.29012,closed,,1,0.15385,0,18.33
1759693826.975,26,0.30551,open,,0,0.14815,1,18.33
1759693827.022,27,0.31587,open,,0,0.14286,1,18.33
1759693827.087,28,0.32166,open,,0,0.13793,1,18.33
1759693827.134,29,0.32440,open,,0,0.13333,1,18.33
1759693827.183,30,0.32050,open,,0,0.12903,1,18.33
1759693827.231,31,0.31462,open,,0,0.12500,1,18.33
1759693827.280,32,0.30873,open,,0,0.12121,1,18.33
1759693827.328,33,0.30408,open,,0,0.11765,1,18.33
1759693827.375,34,0.30056,open,,0,0.11429,1,18.33
1759693827.439,35,0.30198,open,,0,0.11111,1,18.33
1759693827.486,36,0.30147,open,,0,0.10811,1,18.33
1759693827.535,37,0.29724,open,,0,0.10526,1,18.33
1759693827.583,38,0.28572,open,,0,0.10256,1,19.84
1759693827.631,39,0.23837,open,,0,0.10000,1,19.84
1759693827.679,40,0.18881,open,,0,0.09756,1,19.84
1759693827.743,41,0.14173,open,,0,0.09524,1,19.84
1759693827.790,42,0.09867,closed,,1,0.11628,1,19.84
1759693827.838,43,0.06399,closed,,1,0.13636,1,19.84
1759693827.886,44,0.06539,closed,,1,0.15556,1,19.84
1759693827.935,45,0.06910,closed,,1,0.17391,1,19.84
1759693827.983,46,0.07065,closed,,1,0.19149,1,19.84
1759693828.031,47,0.07381,closed,,1,0.20833,1,19.84
1759693828.095,48,0.07452,closed,,1,0.22449,1,19.84
1759693828.144,49,0.07502,closed,,1,0.24000,1,19.84
1759693828.191,50,0.07531,closed,,1,0.25490,1,19.84
1759693828.252,51,0.07727,closed,,1,0.26923,1,19.84
1759693828.287,52,0.07782,closed,,1,0.28302,1,19.84
1759693828.335,53,0.07857,closed,,1,0.29630,1,19.84
1759693828.382,54,0.07921,closed,,1,0.30909,1,19.84
1759693828.448,55,0.07973,closed,,1,0.32143,1,19.84
1759693828.495,56,0.08322,closed,,1,0.33333,1,19.84
1759693828.543,57,0.10968,closed,,1,0.34483,1,19.84
1759693828.590,58,0.14430,closed,,1,0.35593,1,19.85
1759693828.640,59,0.18388,closed,,1,0.36667,1,19.85
1759693828.687,60,0.22399,closed,,1,0.37705,1,19.85
1759693828.751,61,0.26269,closed,,1,0.38710,1,19.85
1759693828.799,62,0.27929,closed,,1,0.39683,1,19.85
1759693828.846,63,0.28787,open,,0,0.39062,2,19.85
1759693828.894,64,0.29233,open,,0,0.38462,2,19.85
1759693828.943,65,0.29585,open,,0,0.37879,2,19.85
1759693828.990,66,0.29676,open,,0,0.37313,2,19.85
1759693829.039,67,0.29511,open,,0,0.36765,2,19.85
1759693829.103,68,0.29571,open,,0,0.36232,2,19.85
1759693829.151,69,0.29498,open,,0,0.35714,2,19.85
1759693829.199,70,0.29410,open,,0,0.35211,2,19.85
1759693829.246,71,0.29283,open,,0,0.34722,2,19.85
1759693829.295,72,0.29517,open,,0,0.34247,2,19.85
1759693829.343,73,0.29339,open,,0,0.33784,2,19.85
1759693829.407,74,0.29500,open,,0,0.33333,2,19.85
1759693829.454,75,0.29540,open,,0,0.32895,2,19.85
1759693829.503,76,0.29692,open,,0,0.32468,2,19.85
1759693829.551,77,0.29615,open,,0,0.32051,2,19.85
1759693829.599,78,0.29646,open,,0,0.31646,2,19.84
1759693829.648,79,0.29417,open,,0,0.31250,2,19.84
1759693829.695,80,0.29333,open,,0,0.30864,2,19.84
1759693829.758,81,0.29194,open,,0,0.30488,2,19.84
1759693829.807,82,0.28681,open,,0,0.30120,2,19.84
